Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ101,Buzzer,Buzzer-12x6.5x5.2,66.802,-105.3975,90.0,top
C101,100n,C_0603,64.008,-63.5,0.0,top
C102,100u/10V,C_1210_3225Metric,25.146,-95.9866,-90.0,top
C103,100u/10V,C_1210_3225Metric,75.5,-100.2,0.0,top
C104,100n,C_0603,76.2,-92.776,0.0,top
C105,100n,C_0603,32.766,-96.532,90.0,top
C106,100n,C_0603,76.2,-94.3,0.0,top
C107,100n,C_0603,39.878,-96.52,90.0,top
C108,100n,C_0603,25.4,-92.456,180.0,top
C109,100n,C_0603,25.4,-90.805,180.0,top
C110,100n,C_0603,27.305,-100.965,90.0,top
C111,100n,C_0603,31.115,-100.965,90.0,top
C112,100n,C_0603,34.925,-100.965,90.0,top
C113,100n,C_0603,47.752,-103.632,-90.0,top
C114,100n,C_0603,29.845,-57.785,0.0,top
C201,100n,C_0603,37.338,-55.118,90.0,top
C202,100n,C_0603,52.324,-57.404,-90.0,top
C203,100n,C_0603,33.02,-65.532,90.0,top
C204,4.7uF,C_1206_(1.6),35.052,-61.214,180.0,top
C205,100n,C_0603,46.6145,-60.8275,0.0,top
C206,100n,C_0603,72.136,-62.992,180.0,top
C207,4.7uF,C_1206_(1.6),68.072,-58.42,-90.0,top
C208,4.7uF,C_1206_(1.6),42.5505,-65.3995,180.0,top
C209,100n,C_0603,64.008,-56.388,0.0,top
C210,4.7uF,C_1206_(1.6),65.024,-54.356,0.0,top
C301,100u/10V,C_1210_3225Metric,72.3,-71.8,0.0,top
C302,100u/10V,C_1210_3225Metric,75.5,-96.8,0.0,top
C303,100n,C_0603,46.99,-96.52,90.0,top
D101,3.3V,LED_0805,25.4,-104.14,90.0,top
D102,3.3V,LED_0805,29.21,-104.14,90.0,top
D103,3.3V,LED_0805,33.02,-104.14,90.0,top
D104,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,36.322,-94.996,180.0,top
D105,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,43.434,-94.996,180.0,top
D106,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,50.546,-94.996,180.0,top
D201,SMBJ5.0A,D_SMB,47.752,-55.88,0.0,top
D202,CHRG,LED_0603,54.864,-50.8,90.0,top
D203,READY,LED_0805,56.896,-50.8,90.0,top
D204,B340A,D_SMA,60.452,-57.404,-90.0,top
D205,5V,LED_0805,29.972,-55.88,0.0,top
D206,3.3V,LED_0805,51.8,-65.7,180.0,top
J101,PROG/JTAG,IDC-Header_2x05_P2.54mm_Vertical,53.8575,-80.01,270.0,top
J102,Option_Buttons,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,29.785,-109.0,180.0,top
J103,FRONT SWITCH,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,43.2,-109.0,180.0,top
J104,GPS,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,30.48,-50.055,0.0,top
J201,Charge/On_Off,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,45.212,-50.055,0.0,top
J202,Accu,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,66.1,-50.025,0.0,top
L201,10uH,FTC252012S,35.052,-55.372,180.0,top
L202,10uH,FTC252012S,42.5505,-59.37,180.0,top
Q101,A03401A,SOT-23,42.672,-103.632,0.0,top
Q102,AO3400A,SOT-23,58.42,-102.87,180.0,top
Q201,FS8205A,TSSOP-8_4.4x3mm_P0.65mm,72.644,-57.912,0.0,top
Q202,A03401A,SOT-23,64.516,-58.928,180.0,top
R101,10K,R_0603,58.674,-68.072,0.0,top
R102,10K,R_0603,58.674,-66.548,0.0,top
R103,100,R_0603,45.72,-88.9,180.0,top
R104,100,R_0603,45.72,-84.455,180.0,top
R105,100,R_0603,45.72,-75.565,180.0,top
R106,100,R_0603,45.72,-86.995,180.0,top
R107,2.2k,R_0603,30.0736,-68.072,-90.0,top
R108,100,R_0603,34.925,-104.14,-90.0,top
R109,100,R_0603,31.115,-104.14,-90.0,top
R110,100,R_0603,27.305,-104.14,-90.0,top
R111,2.2k,R_0603,28.3464,-68.072,-90.0,top
R112,100,R_0603,45.847,-103.632,-90.0,top
R113,100,R_0603,39.497,-103.632,-90.0,top
R114,1K,R_0603,25.4,-100.965,-90.0,top
R115,1K,R_0603,29.21,-100.965,-90.0,top
R116,1K,R_0603,33.02,-100.965,-90.0,top
R117,10K,R_0603,49.53,-103.632,-90.0,top
R118,10K,R_0603,55.88,-98.298,0.0,top
R201,1K,R_0603,52.832,-50.8,90.0,top
R202,1K,R_0603,58.928,-50.8,-90.0,top
R203,15K,R_0603,72.39,-94.234,90.0,top
R204,82K,R_0603,36.068,-65.532,-90.0,top
R205,82K,R_0603,34.544,-65.532,90.0,top
R206,82K,R_0603,38.608,-57.912,0.0,top
R207,15K,R_0603,39.4,-60.3,-90.0,top
